short,journal,mnisw,if,snip,cite,sjr,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
IJoMR,International Journal of Management Reviews,200,"8,63","3,76","8,01","2,90",17.0,19.0,14.0,0.0,9.0,12.0,12.0,16.0,23.0,27.0,13.0,25.0,26.0,21.0,24.0,25.0,25.0,24.0,45.0,23.0,21.0,0.0
AoMJ,Academy of Management Journal,200,"7,57","3,62","10,36","10,76",75.0,74.0,73.0,50.0,59.0,79.0,71.0,88.0,59.0,61.0,70.0,59.0,64.0,77.0,78.0,78.0,95.0,95.0,92.0,72.0,73.0,0.0
AoMA,Academy of Management Annals,200,"11,87","5,89","16,16","12,70",0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,12.0,13.0,16.0,11.0,15.0,12.0,14.0,19.0,27.0,26.0,23.0,31.0,0.0
IJPM,International Journal of Project Management,200,"6,62","2,80","6,41","2,20",42.0,44.0,65.0,64.0,66.0,68.0,72.0,85.0,84.0,79.0,79.0,96.0,82.0,97.0,122.0,130.0,120.0,119.0,79.0,69.0,44.0,0.0
JoIBS,Journal of International Business Studies,200,"9,16","2,70","8,12","5,55",41.0,47.0,44.0,40.0,29.0,37.0,47.0,60.0,72.0,76.0,77.0,57.0,38.0,43.0,51.0,49.0,44.0,40.0,46.0,75.0,74.0,0.0
Techn,Technovation,140,"5,73","2,58","6,25","2,30",57.0,66.0,67.0,75.0,82.0,119.0,123.0,60.0,70.0,72.0,57.0,56.0,59.0,36.0,67.0,42.0,34.0,26.0,28.0,35.0,61.0,0.0
JoBV,Journal of Business Venturing,200,"7,59","3,31","9,79","4,84",22.0,27.0,27.0,37.0,39.0,34.0,38.0,40.0,33.0,38.0,40.0,42.0,41.0,46.0,46.0,46.0,36.0,39.0,37.0,73.0,57.0,0.0
ORM,Organizational Research Methods,200,"5,71","2,83","6,26","4,06",16.0,16.0,24.0,25.0,30.0,26.0,32.0,38.0,50.0,43.0,48.0,43.0,29.0,26.0,20.0,31.0,22.0,30.0,37.0,37.0,29.0,0.0
RP,Research Policy,200,"5,35","2,95","6,56","3,41",65.0,84.0,81.0,101.0,93.0,94.0,97.0,100.0,126.0,133.0,110.0,114.0,132.0,132.0,134.0,139.0,150.0,130.0,159.0,192.0,127.0,0.0
JoPIM,Journal of Product Innovation Management,140,"5,00","2,29","5,43","2,97",18.0,21.0,24.0,25.0,25.0,27.0,36.0,40.0,28.0,45.0,69.0,72.0,89.0,92.0,92.0,66.0,54.0,48.0,27.0,39.0,26.0,0.0
IJPDLM,International Journal of Physical Distribution & Logistics Management,140,"4,74","2,11","6,60","2,41",42.0,36.0,41.0,40.0,38.0,39.0,39.0,40.0,38.0,36.0,39.0,41.0,41.0,40.0,35.0,39.0,39.0,47.0,44.0,48.0,37.0,0.0
JoMS,Journal of Management Studies,140,"4,89","2,05","5,99","3,14",42.0,49.0,48.0,82.0,64.0,70.0,70.0,77.0,58.0,56.0,66.0,77.0,65.0,46.0,43.0,43.0,53.0,47.0,52.0,57.0,70.0,0.0
IJOPM,International Journal of Operations and Production Management,140,"4,62","2,28","6,05","2,10",72.0,81.0,67.0,66.0,61.0,62.0,56.0,31.0,43.0,45.0,46.0,52.0,62.0,65.0,47.0,54.0,74.0,79.0,105.0,48.0,78.0,0.0
TFaSC,Technological Forecasting and Social Change,140,"5,85","1,75","4,32","1,42",52.0,40.0,44.0,42.0,42.0,62.0,22.0,26.0,74.0,84.0,120.0,125.0,121.0,130.0,189.0,312.0,266.0,327.0,324.0,422.0,433.0,0.0
JoKM,Journal of Knowledge Management,140,"4,75","2,07","5,63","1,28",32.0,33.0,40.0,51.0,57.0,59.0,62.0,66.0,70.0,73.0,58.0,58.0,57.0,56.0,64.0,68.0,70.0,73.0,97.0,108.0,95.0,0.0
OMR,Operations Management Research,100,"2,00","1,40","5,18","1,31",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,17.0,15.0,11.0,9.0,10.0,10.0,11.0,11.0,6.0,11.0,18.0,0.0
HR,Human Relations,140,"3,63","1,96","4,24","2,44",60.0,75.0,61.0,64.0,65.0,62.0,59.0,67.0,60.0,42.0,65.0,67.0,63.0,68.0,61.0,79.0,90.0,61.0,64.0,76.0,118.0,0.0
ECRaA,Electronic Commerce Research and Applications,100,"3,82","1,79","6,90","1,18",0.0,0.0,22.0,27.0,27.0,29.0,26.0,43.0,29.0,27.0,48.0,55.0,48.0,38.0,34.0,54.0,56.0,45.0,73.0,69.0,80.0,0.0
JoHR,Journal of Human Resources,200,"3,70","6,65","8,27","12,36",31.0,31.0,34.0,46.0,44.0,40.0,31.0,33.0,31.0,36.0,34.0,31.0,36.0,2.0,14.0,31.0,32.0,32.0,31.0,34.0,39.0,0.0
